dataset_id	object_label	sample_label	tissue_site	review_class	cell_count	total_cells	fraction
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	Pt10_T1	primary tumor	pericyte_review	26	6748	0.0038529934795495
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	Pt10_T2	liver metastasis	caf_ecm_review	520	7345	0.0707964601769911
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	Pt10_T2	liver metastasis	endothelial_review	160	7345	0.021783526208305
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	Pt10_T2	liver metastasis	epithelial_review	168	7345	0.0228727025187202
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	Pt10_T2	liver metastasis	immune_review	6445	7345	0.877467665078285
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	Pt10_T2	liver metastasis	pericyte_review	52	7345	0.00707964601769911
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	Pt11_T1	primary tumor	caf_ecm_review	580	6023	0.0962975261497593
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	Pt11_T1	primary tumor	endothelial_review	591	6023	0.0981238585422547
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	Pt11_T1	primary tumor	epithelial_review	2555	6023	0.424207205711439
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	Pt11_T1	primary tumor	immune_review	2219	6023	0.368421052631579
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	Pt11_T1	primary tumor	pericyte_review	78	6023	0.0129503569649676
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	Pt11_T2	liver metastasis	caf_ecm_review	117	4970	0.0235412474849095
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	Pt11_T2	liver metastasis	endothelial_review	93	4970	0.0187122736418511
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	Pt11_T2	liver metastasis	epithelial_review	609	4970	0.122535211267606
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	Pt11_T2	liver metastasis	immune_review	4114	4970	0.827766599597585
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	Pt11_T2	liver metastasis	pericyte_review	37	4970	0.00744466800804829
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	Pt13_T1	primary tumor	caf_ecm_review	341	3415	0.0998535871156662
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	Pt13_T1	primary tumor	endothelial_review	428	3415	0.125329428989751
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	Pt13_T1	primary tumor	epithelial_review	514	3415	0.150512445095168
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	Pt13_T1	primary tumor	immune_review	2104	3415	0.61610541727672
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	Pt13_T1	primary tumor	pericyte_review	28	3415	0.008199121522694
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	Pt13_Z1	colon adjacent tissue	caf_ecm_review	1918	5547	0.345772489634036
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	Pt13_Z1	colon adjacent tissue	endothelial_review	514	5547	0.0926627005588606
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	Pt13_Z1	colon adjacent tissue	epithelial_review	2460	5547	0.443482963764197
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	Pt13_Z1	colon adjacent tissue	immune_review	619	5547	0.111591851451235
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	Pt13_Z1	colon adjacent tissue	pericyte_review	36	5547	0.00648999459167117
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	Pt15_T1	primary tumor	caf_ecm_review	2207	8355	0.264153201675643
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	Pt15_T1	primary tumor	endothelial_review	844	8355	0.101017354877319
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	Pt15_T1	primary tumor	epithelial_review	975	8355	0.116696588868941
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	Pt15_T1	primary tumor	immune_review	3528	8355	0.422262118491921
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	Pt15_T1	primary tumor	pericyte_review	801	8355	0.0958707360861759
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	Pt15_T2	liver metastasis	caf_ecm_review	15	4698	0.00319284802043423
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	Pt15_T2	liver metastasis	endothelial_review	44	4698	0.00936568752660707
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	Pt15_T2	liver metastasis	epithelial_review	4324	4698	0.92039165602384
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	Pt15_T2	liver metastasis	immune_review	293	4698	0.0623669646658152
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	Pt15_T2	liver metastasis	pericyte_review	22	4698	0.00468284376330353
