dataset_id	object_label	sample_label	tissue_site	review_class	top_marker_program	marker_group	gene_symbol	present	cell_count	pct_expr	mean_log_norm
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	cycling	MKI67	TRUE	6708	0.153548002385212	0.13436472683482
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	cycling	TOP2A	TRUE	6708	0.11881335718545	0.10251656036655
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	endothelial	KDR	TRUE	6708	0.000298151460942159	0.000275910804438582
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	endothelial	PECAM1	TRUE	6708	0.0202742993440668	0.015801429954906
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	endothelial	VWF	TRUE	6708	0.000894454382826476	0.000741635163241578
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	epithelial_tumor	EPCAM	TRUE	6708	0.799791293977341	1.61250968507345
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	epithelial_tumor	KRT18	TRUE	6708	0.91025641025641	2.65875884583604
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	epithelial_tumor	KRT19	TRUE	6708	0.838252832438879	2.24466607955653
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	epithelial_tumor	KRT8	TRUE	6708	0.941711389385808	2.86414873959143
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	fibroblast_ecm	COL1A1	TRUE	6708	0.0567978533094812	0.0420295899249551
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	fibroblast_ecm	COL1A2	TRUE	6708	0.0240011926058438	0.0176716784649718
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	fibroblast_ecm	COL3A1	TRUE	6708	0.0248956469886702	0.0177675290694503
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	fibroblast_ecm	DCN	TRUE	6708	0.0174418604651163	0.0144076853106815
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	fibroblast_ecm	LUM	TRUE	6708	0.0278771615980918	0.0218865223775405
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	fibroblast_ecm	PRELP	TRUE	6708	0.00223613595706619	0.00135372646227812
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	immune_context	CD3D	TRUE	6708	0.256112104949314	0.312965525610907
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	immune_context	LYZ	TRUE	6708	0.672033392963626	1.28286960286554
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	immune_context	PTPRC	TRUE	6708	0.143261776982707	0.151076956387007
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	inflammatory_caf	C3	TRUE	6708	0.272510435301133	0.253329829271112
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	inflammatory_caf	CFD	TRUE	6708	0.341234347048301	0.284462798412821
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	inflammatory_caf	CXCL12	TRUE	6708	0.00238521168753727	0.00178154216386364
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	inflammatory_caf	CXCL14	TRUE	6708	0.0283243887895051	0.0345269230961215
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	inflammatory_caf	IL6	TRUE	6708	0.0162492546213476	0.0173722365661435
