integration_feature	anchor_feature	integrated_correction_feature
IL1R1	TRUE	TRUE
ITGA8	TRUE	TRUE
MUC5AC	TRUE	TRUE
DDIT4	TRUE	TRUE
CSTA	TRUE	TRUE
CST7	TRUE	TRUE
CORO1A	TRUE	TRUE
SOX8	TRUE	TRUE
FYB1	TRUE	TRUE
FCGR1A	TRUE	TRUE
WWTR1	TRUE	TRUE
FKBP1A	TRUE	TRUE
PAX6	TRUE	TRUE
HAND2-AS1	TRUE	TRUE
TPPP3	TRUE	TRUE
SERPINH1	TRUE	TRUE
FAM107A	TRUE	TRUE
SYNM	TRUE	TRUE
SVEP1	TRUE	TRUE
LGALS3	TRUE	TRUE
CD79B	TRUE	TRUE
CLEC4E	TRUE	TRUE
HMOX1	TRUE	TRUE
MARCO	TRUE	TRUE
PROCR	TRUE	TRUE
TYMP	TRUE	TRUE
MXRA8	TRUE	TRUE
RAC2	TRUE	TRUE
CTSW	TRUE	TRUE
MXD1	TRUE	TRUE
PAPPA2	TRUE	TRUE
VMO1	TRUE	TRUE
TUBB	TRUE	TRUE
PRF1	TRUE	TRUE
NCF2	TRUE	TRUE
EMP3	TRUE	TRUE
SELENBP1	TRUE	TRUE
NR4A3	TRUE	TRUE
AC020916.1	TRUE	TRUE
OR51E1	TRUE	TRUE
CD48	TRUE	TRUE
CTSC	TRUE	TRUE
ISG15	TRUE	TRUE
IL1RL1	TRUE	TRUE
HSPB6	TRUE	TRUE
IL22RA2	TRUE	TRUE
FGFBP2	TRUE	TRUE
GCNT3	TRUE	TRUE
MUC12	TRUE	TRUE
SAA1	TRUE	TRUE
TUBB6	TRUE	TRUE
TPM1	TRUE	TRUE
CD160	TRUE	TRUE
AXL	TRUE	TRUE
HAPLN1	TRUE	TRUE
STAG3	TRUE	TRUE
S1PR1	TRUE	TRUE
FOS	TRUE	TRUE
PCNA	TRUE	TRUE
ENTPD3	TRUE	TRUE
PDGFRL	TRUE	TRUE
PIM2	TRUE	TRUE
NRP1	TRUE	TRUE
DUSP5	TRUE	TRUE
P2RY6	TRUE	TRUE
LEPR	TRUE	TRUE
CTSS	TRUE	TRUE
SLC40A1	TRUE	TRUE
CD247	TRUE	TRUE
COL5A3	TRUE	TRUE
S100A14	TRUE	TRUE
TGFBR2	TRUE	TRUE
ARHGDIB	TRUE	TRUE
TMEM54	TRUE	TRUE
COTL1	TRUE	TRUE
CLDN4	TRUE	TRUE
LMOD1	TRUE	TRUE
MIA	TRUE	TRUE
COL13A1	TRUE	TRUE
NRG1	TRUE	TRUE
INSR	TRUE	TRUE
ZBED2	TRUE	TRUE
PCDH18	TRUE	TRUE
RSAD2	TRUE	TRUE
IFITM3	TRUE	TRUE
PTX3	TRUE	TRUE
IFI27	TRUE	TRUE
PLPP1	TRUE	TRUE
COX4I2	TRUE	TRUE
