gene_id	gene_symbol	feature_type	seurat_feature_name	detected_cells_merged_raw	formal_merged_gene_filter_pass
ENSG00000163577	EIF5A2	Gene Expression	EIF5A2	6651	TRUE
ENSG00000163581	SLC2A2	Gene Expression	SLC2A2	57	TRUE
ENSG00000154310	TNIK	Gene Expression	TNIK	25599	TRUE
ENSG00000240497	AC092919.1	Gene Expression	AC092919.1	32	TRUE
ENSG00000075651	PLD1	Gene Expression	PLD1	25461	TRUE
ENSG00000186329	TMEM212	Gene Expression	TMEM212	14	TRUE
ENSG00000234717	TMEM212-AS1	Gene Expression	TMEM212-AS1	0	FALSE
ENSG00000075420	FNDC3B	Gene Expression	FNDC3B	55694	TRUE
ENSG00000121853	GHSR	Gene Expression	GHSR	0	FALSE
ENSG00000121858	TNFSF10	Gene Expression	TNFSF10	61428	TRUE
ENSG00000223387	LINC02068	Gene Expression	LINC02068	293	TRUE
ENSG00000144959	NCEH1	Gene Expression	NCEH1	23585	TRUE
ENSG00000114346	ECT2	Gene Expression	ECT2	23307	TRUE
ENSG00000144962	SPATA16	Gene Expression	SPATA16	3	TRUE
ENSG00000237473	AC068759.1	Gene Expression	AC068759.1	1	FALSE
ENSG00000169760	NLGN1	Gene Expression	NLGN1	285	TRUE
ENSG00000228213	NLGN1-AS1	Gene Expression	NLGN1-AS1	0	FALSE
ENSG00000177694	NAALADL2	Gene Expression	NAALADL2	29386	TRUE
ENSG00000226779	NAALADL2-AS2	Gene Expression	NAALADL2-AS2	64	TRUE
ENSG00000225552	NAALADL2-AS1	Gene Expression	NAALADL2-AS1	8	TRUE
ENSG00000260217	AC104640.1	Gene Expression	AC104640.1	5	TRUE
ENSG00000223715	LINC01208	Gene Expression	LINC01208	11	TRUE
ENSG00000232461	AC092920.1	Gene Expression	AC092920.1	0	FALSE
ENSG00000228308	LINC01209	Gene Expression	LINC01209	100	TRUE
ENSG00000177565	TBL1XR1	Gene Expression	TBL1XR1	83076	TRUE
ENSG00000231310	TBL1XR1-AS1	Gene Expression	TBL1XR1-AS1	23	TRUE
ENSG00000203645	LINC00501	Gene Expression	LINC00501	1224	TRUE
ENSG00000226782	AC117465.1	Gene Expression	AC117465.1	17	TRUE
ENSG00000228221	LINC00578	Gene Expression	LINC00578	107	TRUE
ENSG00000236385	AC026355.2	Gene Expression	AC026355.2	1	FALSE
ENSG00000228561	AC026355.1	Gene Expression	AC026355.1	55	TRUE
ENSG00000231574	LINC02015	Gene Expression	LINC02015	12	TRUE
ENSG00000225790	AC007953.1	Gene Expression	AC007953.1	0	FALSE
ENSG00000270321	AC007953.2	Gene Expression	AC007953.2	0	FALSE
ENSG00000223930	AC109779.1	Gene Expression	AC109779.1	67	TRUE
ENSG00000197584	KCNMB2	Gene Expression	KCNMB2	103	TRUE
ENSG00000275163	AC117457.1	Gene Expression	AC117457.1	4	TRUE
ENSG00000237978	KCNMB2-AS1	Gene Expression	KCNMB2-AS1	258	TRUE
ENSG00000172667	ZMAT3	Gene Expression	ZMAT3	26511	TRUE
ENSG00000229102	AC076966.1	Gene Expression	AC076966.1	6	TRUE
ENSG00000121879	PIK3CA	Gene Expression	PIK3CA	26312	TRUE
ENSG00000171121	KCNMB3	Gene Expression	KCNMB3	5979	TRUE
ENSG00000121864	ZNF639	Gene Expression	ZNF639	24196	TRUE
ENSG00000260743	AC007823.1	Gene Expression	AC007823.1	158	TRUE
ENSG00000171109	MFN1	Gene Expression	MFN1	31202	TRUE
ENSG00000114450	GNB4	Gene Expression	GNB4	13284	TRUE
ENSG00000242539	AC007620.2	Gene Expression	AC007620.2	1435	TRUE
ENSG00000272699	AC007620.3	Gene Expression	AC007620.3	241	TRUE
ENSG00000136518	ACTL6A	Gene Expression	ACTL6A	40037	TRUE
ENSG00000272910	AC090425.2	Gene Expression	AC090425.2	143	TRUE
