cluster	compartment	signature_score	mean_normalized_expression	mean_detection_fraction	marker_genes	signature_rank
32	B	1.43710746309486	0.932970558367157	0.483711340206186	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	2
32	Fibroblast	-0.182021986796981	0.0403010201479284	0.0314432989690722	COL1A2;COL3A1;MYH11;ACTA2	3
32	Myeloid	-0.247186514701718	0.0463597105497993	0.0360824742268041	CD14;CD68	4
32	Endothelial	-0.315069832713728	0.0452333431500979	0.0381443298969072	VWF;PECAM1	5
32	Epithelial	-0.615026267731594	0.333333333346565	0.228865979381443	EPCAM;CD24	6
33	Myeloid	-0.096090108590039	0.0903278411003798	0.063758389261745	CD14;CD68	1
33	Fibroblast	-0.206307284129636	0.0227795220198111	0.0151006711409396	COL1A2;COL3A1;MYH11;ACTA2	2
33	B	-0.268265554712468	0.0302952200262818	0.0214765100671141	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
33	Endothelial	-0.350281576411214	0.0247995266673032	0.0134228187919463	VWF;PECAM1	4
33	T/I/NK	-0.407607769107516	0.0536070869868221	0.0318791946308725	CD3D;CD3E;TRAC;TRBC1	5
33	Epithelial	-0.905012647336915	0.129256978723963	0.087248322147651	EPCAM;CD24	6
