cluster	rank	gene	score_mean_log_normalized_difference	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	technical_gene_excluded	marker_method
6	10	CLDN4	1.3000069856643677	1.5047924518585205	0.20478548109531403	0.5376304023845008	False	mean_log_normalized_expression_difference
6	11	S100P	1.296764612197876	1.5419057607650757	0.24514108896255493	0.5862518628912071	False	mean_log_normalized_expression_difference
6	12	PGC	1.268314003944397	1.3499411344528198	0.08162717521190643	0.32656482861400893	False	mean_log_normalized_expression_difference
6	13	MT-CO2	1.2587769031524658	4.6977972984313965	3.4390203952789307	0.9770864381520119	False	mean_log_normalized_expression_difference
6	14	IFI27	1.2479052543640137	1.520103931427002	0.2721986472606659	0.6033904619970194	False	mean_log_normalized_expression_difference
6	15	LCN2	1.2343640327453613	1.3351199626922607	0.10075593739748001	0.536140089418778	False	mean_log_normalized_expression_difference
6	16	FXYD3	1.20636785030365	1.3289427757263184	0.12257489562034607	0.5879284649776453	False	mean_log_normalized_expression_difference
6	17	MT-RNR1	1.1529104709625244	4.094535827636719	2.9416253566741943	0.9556631892697467	False	mean_log_normalized_expression_difference
6	18	MT-ND3	1.095569372177124	3.233746290206909	2.138176918029785	0.9370342771982116	False	mean_log_normalized_expression_difference
6	19	MTCO1P12	1.0929489135742188	2.8529608249664307	1.760011911392212	0.9497019374068555	False	mean_log_normalized_expression_difference
6	20	CD24	1.0849298238754272	1.2334840297698975	0.1485542356967926	0.5948211624441133	False	mean_log_normalized_expression_difference
6	21	LYZ	1.079007625579834	1.8265719413757324	0.7475642561912537	0.6762295081967213	False	mean_log_normalized_expression_difference
6	22	RPS18	1.0461660623550415	3.042370319366455	1.9962042570114136	0.8932563338301043	False	mean_log_normalized_expression_difference
6	23	RPLP0	1.0254508256912231	2.565330982208252	1.5398801565170288	0.8364381520119225	False	mean_log_normalized_expression_difference
6	24	MT-ATP6	1.0131618976593018	3.752323627471924	2.739161729812622	0.9552906110283159	False	mean_log_normalized_expression_difference
6	25	RPL8	0.9983831644058228	2.362572431564331	1.3641892671585083	0.8315946348733234	False	mean_log_normalized_expression_difference
6	26	RPS3	0.9935625791549683	2.8229706287384033	1.829408049583435	0.8729508196721312	False	mean_log_normalized_expression_difference
6	27	CYSTM1	0.9725116491317749	1.2804656028747559	0.30795398354530334	0.5128539493293591	False	mean_log_normalized_expression_difference
6	28	RPS12	0.9698220491409302	2.809661865234375	1.8398398160934448	0.8751862891207154	False	mean_log_normalized_expression_difference
6	29	CST3	0.9676216840744019	1.4784526824951172	0.5108309984207153	0.6758569299552906	False	mean_log_normalized_expression_difference
6	30	RPL13	0.9610669612884521	3.0630524158477783	2.101985454559326	0.8908345752608048	False	mean_log_normalized_expression_difference
6	31	EPCAM	0.947817862033844	0.9883381128311157	0.04052027314901352	0.49534277198211624	False	mean_log_normalized_expression_difference
6	32	RPL36	0.9275258779525757	1.961025595664978	1.0334997177124023	0.805886736214605	False	mean_log_normalized_expression_difference
6	33	RPS21	0.9270110130310059	1.9714810848236084	1.0444700717926025	0.819672131147541	False	mean_log_normalized_expression_difference
6	34	RPL31	0.9157978296279907	2.4567556381225586	1.5409578084945679	0.8487332339791356	False	mean_log_normalized_expression_difference
6	35	RPL37A	0.9052423238754272	2.363478183746338	1.4582358598709106	0.8653129657228018	False	mean_log_normalized_expression_difference
6	36	TSPAN8	0.89371657371521	0.9191588759422302	0.025442276149988174	0.42790611028315945	False	mean_log_normalized_expression_difference
6	37	ANXA2	0.8916484117507935	1.4140660762786865	0.5224176645278931	0.6536885245901639	False	mean_log_normalized_expression_difference
