cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
4	8.93402536495242e-273	1.76358314838224	0.733	0.22	2.20330933550457e-268	MARCO
4	2.66634286331238e-268	5.16986198471141	0.16	0.003	6.57573476950099e-264	CA12
4	1.81714818072791e-265	1.71314321912845	0.774	0.248	4.48145084331117e-261	P4HA1
4	1.68359536932735e-264	3.05851294395907	0.331	0.04	4.1520828998351e-260	MATK
4	1.59851905673419e-262	3.14688214992409	0.314	0.035	3.94226769771786e-258	LPL
4	5.24022640313683e-262	2.60372486162313	0.399	0.061	1.2923446355416e-257	HIF1A-AS2
4	1.26184029981003e-260	2.28051680134782	0.526	0.119	3.11195054739149e-256	FN1
4	1.20909220939333e-254	2.20124080150335	0.496	0.099	2.98186320680583e-250	TMEM38B
4	1.00699633295532e-251	4.76925767565962	0.174	0.006	2.48345435633441e-247	SPOCD1
4	1.32841503830702e-249	3.05676639796788	0.265	0.023	3.27613716747278e-245	CCL7
4	6.71505662057751e-246	4.13775546451501	0.211	0.013	1.65606726376683e-241	EGLN3
4	8.53228746918978e-246	2.31596016811357	0.476	0.097	2.10423273565158e-241	CD109
4	5.79687530451715e-245	1.9371127519706	0.54	0.116	1.42962538760002e-240	FLT1
4	6.69646452118955e-236	1.36868259533761	0.897	0.359	1.65148208021577e-231	RGCC
4	3.29195426583768e-233	2.74704398537	0.314	0.04	8.11861761040888e-229	TPST1
4	8.00930093151694e-230	2.35400779950931	0.385	0.064	1.97525379573071e-225	SEMA3C
4	2.6890875880401e-226	1.35975197060149	0.882	0.333	6.6318278096245e-222	MCEMP1
4	3.46728852678072e-225	2.16077014492712	0.472	0.103	8.55102696474662e-221	DHRS3
4	6.56546385208121e-220	3.12447631176803	0.263	0.029	1.61917469520027e-215	SLC2A1
4	1.33387902459238e-217	1.33591250608909	0.875	0.366	3.28961245044974e-213	IL1RN
4	3.8193943928382e-214	1.73949475373567	0.623	0.187	9.41939045161756e-210	ALCAM
4	5.60376017959795e-214	1.49068983969963	0.742	0.24	1.38199933549245e-209	MMP19
5	6.92318513065054e-266	1.92414191916902	0.819	0.286	1.70739591692104e-261	CCL3L3
5	9.00660101801198e-250	1.94739834656504	0.775	0.257	2.22120794306212e-245	CCL4L2
5	3.41935932670856e-244	1.20836327820066	0.974	0.574	8.43282397152864e-240	IL1B
5	1.36299222471636e-228	1.93535316489905	0.746	0.28	3.36141142459549e-224	THAP2
5	6.79842285796186e-228	1.6990536825776	0.832	0.351	1.67662704523055e-223	RBKS
5	3.67941188809388e-215	1.39049162557068	0.897	0.44	9.07416559841713e-211	CXCL2
5	8.28832702009147e-209	2.67000009294846	0.467	0.099	2.04406720969496e-204	DNAAF1
5	6.82120651299097e-197	2.02124404202067	0.626	0.189	1.68224595023383e-192	PTGS2
5	8.43154367169551e-194	1.67736271098695	0.755	0.291	2.07938730031355e-189	CCL4
5	1.3206173893264e-193	1.96930797858005	0.632	0.2	3.25690660555677e-189	CCL20
5	1.46721277953247e-192	1.24718987503265	0.918	0.484	3.61844015688298e-188	CXCL8
5	2.08422634496297e-191	1.44632879078888	0.821	0.403	5.14011901194767e-187	EREG
5	1.11691981051576e-185	1.21444843870526	0.912	0.534	2.75454763669398e-181	NLRP3
5	2.17412078718141e-185	0.877450451428436	0.969	0.737	5.3618166853468e-181	BCL2A1
5	7.16774021418107e-184	2.09741629124067	0.569	0.166	1.76770809162133e-179	TRAF1
5	2.52800193647816e-182	0.906486416628351	0.974	0.704	6.23455837574245e-178	TNFAIP3
5	5.35151098511529e-180	1.3974649332823	0.839	0.415	1.31978963914913e-175	CCL3
5	5.57666443008971e-177	1.15828907903752	0.886	0.537	1.37531698174872e-172	ICAM1
5	2.91514816775428e-163	1.00822503984203	0.931	0.611	7.18933841131562e-159	NFKBIZ
5	3.34410271792673e-160	1.63499803403878	0.687	0.281	8.2472261229509e-156	CXCL3
5	3.78527299371727e-159	1.20310137729686	0.855	0.48	9.33524025710553e-155	DUSP2
5	2.37551303339741e-158	1.40313453121427	0.776	0.393	5.8584902429647e-154	AREG
5	6.00269597546466e-158	0.850553037324093	0.949	0.685	1.48038488146909e-153	IER3
5	1.14903645865566e-147	0.622794876367749	0.976	0.838	2.83375371433659e-143	PPP1R15A
5	9.7123235758273e-143	0.911647484996655	0.894	0.617	2.39525324027053e-138	CD83
5	3.90911941230311e-141	0.48479359756925	0.995	0.935	9.64067029462193e-137	NFKBIA
5	1.7282224492917e-138	1.47818091719367	0.694	0.322	4.26214220444319e-134	ZC3H12A
5	1.18866218387967e-137	0.577160241943183	0.987	0.876	2.93147867788405e-133	SOD2
5	2.35866678862455e-136	1.6388890052499	0.631	0.254	5.81694403410587e-132	ARL5B
5	1.3314720044287e-132	0.463621459578957	0.99	0.936	3.28367625732206e-128	PNRC1
5	1.76368223329682e-131	0.587857568497799	0.979	0.852	4.34959312375662e-127	PLAUR
5	2.08558750902643e-131	1.06704272401495	0.856	0.511	5.14347591476099e-127	PDE4B
5	4.4938420908211e-130	2.246697676822	0.343	0.075	1.1082713364383e-125	IL1A
5	2.66710404456919e-129	1.16145659301693	0.783	0.477	6.57761199471652e-125	PIM3
