gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	resolution	positive_direction	passes_primary_filter	rank
HCAR3	4	3.41456945994911	2.44858956140641	475278274	0.802959798822226	0	0	83.1407489906724	36.3077035095384	1.0	TRUE	TRUE	7
NAMPT	4	3.52018237565433	1.94199253433568	473779440.5	0.800427591668091	0	0	93.8883474871224	63.6571040240765	1.0	TRUE	TRUE	8
HCAR2	4	3.41047833027093	2.34004990112192	472326454.5	0.797972841661463	0	0	84.7278295976611	39.0709188874327	1.0	TRUE	TRUE	9
PLEK	4	3.34525846331397	2.18853008267166	469087661.5	0.792501056566345	0	0	84.7974383962133	46.2805203630892	1.0	TRUE	TRUE	10
CD74	5	4.26855744428914	2.64478881666774	406843961.5	0.895706238470239	0	0	97.1825764596849	68.8367065754466	1.0	TRUE	TRUE	1
C1QB	5	2.60452004486672	2.49534465935468	405823582	0.893459774542429	0	0	82.5393883225209	14.5358228810338	1.0	TRUE	TRUE	2
HLA-DRA	5	3.6779837142978	2.67384085441148	402391987.5	0.885904788128921	0	0	94.4022242817424	50.9086374002281	1.0	TRUE	TRUE	3
C1QA	5	2.40289662169219	2.31888147054452	401946524	0.884924057249963	0	0	80.3336422613531	11.3906309388065	1.0	TRUE	TRUE	4
C1QC	5	2.30384882208966	2.22036980628557	400251008.5	0.881191216272863	0	0	79.8146431881372	12.3313378943368	1.0	TRUE	TRUE	5
CTSB	5	3.08769538123358	2.41166041220615	397188147.5	0.874448032239475	0	0	89.2863762743281	45.0541619156214	1.0	TRUE	TRUE	6
HLA-DRB1	5	3.08295075896709	2.35967016927671	395351548.5	0.870404582323681	0	0	89.9536607970343	42.6335043709616	1.0	TRUE	TRUE	7
HLA-DPA1	5	2.58833304571074	2.08707892381211	389992044.5	0.858605117117888	0	0	85.6533827618165	34.0471778791334	1.0	TRUE	TRUE	8
HLA-DRB3	5	2.50174747101163	1.96685914078172	385612003.5	0.848962034217037	0	0	85.6163113994439	34.6446218167997	1.0	TRUE	TRUE	9
HLA-DPB1	5	2.46767778601785	1.95435313336646	384050257.5	0.845523699701886	0	0	84.2817423540315	35.0270809578107	1.0	TRUE	TRUE	10
TIMP1	6	2.87771240282846	2.41673525664419	370406627.5	0.893305645550148	0	0	90.5228758169935	33.3010591444191	1.0	TRUE	TRUE	1
HLA-DRA	6	3.47982427256472	2.44847149411472	361696900	0.872300490217301	0	0	95.3635620915033	51.1093268470085	1.0	TRUE	TRUE	2
LYZ	6	3.06652251481235	2.22218366316171	354504611.5	0.854954926060312	0	0	92.7696078431373	47.8185403407682	1.0	TRUE	TRUE	3
CXCL2	6	2.32381347300338	2.00465831129919	352878385	0.851032973250779	0	0	82.577614379085	22.8430411732061	1.0	TRUE	TRUE	4
AL662796.1	6	1.35659348643554	1.06864503891744	349825949	0.843671446460925	0	0	86.7442810457516	25.4903118395107	1.0	TRUE	TRUE	5
CTSB	6	2.45877821141647	1.73217592107844	347343586.5	0.837684759747141	0	0	91.1356209150327	45.2078733277444	1.0	TRUE	TRUE	6
IFI30	6	2.04468651062118	1.49626550035775	345275855.5	0.832698035324185	0	0	88.7050653594771	35.6578621104958	1.0	TRUE	TRUE	7
AC007192.1	6	1.6500317763532	1.25070602163993	344212731	0.830134109499794	0	0	85.968137254902	30.4365280844482	1.0	TRUE	TRUE	8
FCER1G	6	2.20897369704919	1.60898234258664	343862855.5	0.829290318551724	0	0	88.8684640522876	32.8015963915883	1.0	TRUE	TRUE	9
ANXA5	6	1.68886554687336	1.26583444674681	340814796.5	0.821939347725291	0	0	84.9264705882353	31.2240970114888	1.0	TRUE	TRUE	10
AGR2	7	2.11378135520034	1.94193145301561	327732397.5	0.850216687836535	0	0	77.9567519858782	16.4058550349774	1.0	TRUE	TRUE	1
KRT8	7	1.74579342224171	1.58517423241842	315856175.5	0.819406910683358	0	0	73.5216240070609	20.389159955323	1.0	TRUE	TRUE	2
SPINK1	7	1.52767034984453	1.41216087910214	306007917	0.793858158754345	0	0	66.1738746690203	12.7070718946564	1.0	TRUE	TRUE	3
KRT18	7	1.49071245394973	1.35098018155803	299035401	0.775769774741571	0	0	64.0556045895852	15.3347833754629	1.0	TRUE	TRUE	4
KRT19	7	1.34822663502565	1.17700103315932	283235164.5	0.734780159901726	0	0	56.531332744925	12.8469813649991	1.0	TRUE	TRUE	5
LYZ	7	2.22295472630939	1.32415788781628	281900881	0.731318707489152	0	0	78.8614298323036	48.7519840103462	1.0	TRUE	TRUE	6
S100A6	7	2.61652846798962	1.41869973417179	281869728.5	0.731237890409212	0	0	83.3186231244484	60.8570924695785	1.0	TRUE	TRUE	7
S100P	7	1.60420025610429	1.31373869689769	281219550.5	0.729551172251712	0	0	61.0767872903795	21.6177767327024	1.0	TRUE	TRUE	8
EPCAM	7	1.0451597753591	0.983557886641382	280636804	0.728039387628471	0	0	50.8164165931156	7.72794074422433	1.0	TRUE	TRUE	9
CLDN4	7	1.29910307435628	1.06791892821588	275792908.5	0.715473157314801	0	0	56.1782877316858	17.0807124801599	1.0	TRUE	TRUE	10
IGKC	8	7.77584534266452	5.69932166624361	371323479.5	0.982829832306165	0	0	99.9774622492675	85.6312389900176	1.0	TRUE	TRUE	1
JCHAIN	8	4.4552395550454	3.48232350150936	338406973.5	0.89570546269817	0	0	95.1994590939824	48.3910745742807	1.0	TRUE	TRUE	2
MZB1	8	2.25439909647562	1.95111038008456	332690795	0.880575714468535	0	0	86.9281045751634	20.8937169700529	1.0	TRUE	TRUE	3
SSR4	8	2.75430940606188	1.97788929253254	332303073	0.87954948055315	0	0	93.5767410412441	46.1832061068702	1.0	TRUE	TRUE	4
